n	x	y	
356	-73.9893697	40.7731119	;
357	-73.9892485	40.7732784	;
358	-73.989243	40.752895	;
359	-73.9891582	40.7363917	;
360	-73.9891568	40.7478958	;
361	-73.989155	40.716708	;
362	-73.9891371	40.7413644	;
363	-73.9890921	40.7734934	;
364	-73.9890251	40.7365689	;
365	-73.9890142	40.7423149	;
366	-73.989011	40.743796	;
367	-73.9889603	40.7166419	;
368	-73.9889506	40.7634796	;
369	-73.9888184	40.7738696	;
370	-73.9887918	40.7229078	;
371	-73.988779	40.733966	;
372	-73.9887309	40.7230355	;
373	-73.9886361	40.7741202	;
374	-73.9885783	40.7228497	;
375	-73.9885656	40.7691032	;
376	-73.9885488	40.7229823	;
377	-73.988452	40.746789	;
378	-73.9884471	40.7743835	;
379	-73.9883893	40.7164482	;
380	-73.9883858	40.7591595	;
381	-73.9883724	40.7374281	;
382	-73.9883571	40.7745088	;
383	-73.988305	40.747535	;
384	-73.9882622	40.7491079	;
385	-73.9881847	40.7747491	;
386	-73.9881683	40.7186193	;
387	-73.9881523	40.737729	;
388	-73.9880044	40.7750033	;
389	-73.9879839	40.7408836	;
390	-73.987954	40.7190347	;
391	-73.9879285	40.7597869	;
392	-73.9879087	40.7751382	;
393	-73.987876	40.740838	;
394	-73.9877652	40.7497921	;
395	-73.9877347	40.7753835	;
396	-73.9876368	40.7514288	;
397	-73.9875746	40.7653667	;
398	-73.9875369	40.7756526	;
399	-73.987491	40.752159	;
400	-73.9874097	40.7758258	;
401	-73.9872606	40.7760287	;
402	-73.9871818	40.7332927	;
403	-73.987158	40.7143065	;
404	-73.9871254	40.7659937	;
405	-73.9870025	40.7807248	;
406	-73.9869489	40.7560361	;
407	-73.9868238	40.751088	;
408	-73.9867899	40.7403784	;
409	-73.9867433	40.7159542	;
410	-73.9865645	40.7616583	;
411	-73.9865345	40.7806449	;
412	-73.986399	40.7517	;
413	-73.986398	40.755804	;
414	-73.986393	40.745921	;
415	-73.986359	40.740196	;
416	-73.9863352	40.7221619	;
417	-73.9862637	40.7222803	;
418	-73.9862119	40.7805186	;
419	-73.9861046	40.7622893	;
420	-73.985949	40.746536	;
421	-73.9857166	40.7679183	;
422	-73.9856663	40.7803049	;
423	-73.9855335	40.7579634	;
424	-73.9854503	40.7784812	;
425	-73.985428	40.741471	;
426	-73.9853058	40.7155222	;
427	-73.9852813	40.7836063	;
428	-73.9851328	40.713597	;
429	-73.98512	40.7106758	;
430	-73.9850978	40.7137953	;
431	-73.9850867	40.7585867	;
432	-73.9850646	40.7800516	;
433	-73.9850353	40.7154402	;
434	-73.984941	40.732347	;
435	-73.9848846	40.7741602	;
436	-73.984794	40.745244	;
437	-73.9847936	40.7153769	;
438	-73.9847562	40.7395069	;
439	-73.9847413	40.7641596	;
440	-73.9847385	40.7145096	;
441	-73.9847284	40.7856655	;
442	-73.984711	40.7795042	;
443	-73.9847108	40.7107224	;
444	-73.9846551	40.7104204	;
445	-73.98456	40.748439	;
446	-73.9844842	40.7798073	;
447	-73.98442	40.7747967	;
448	-73.984344	40.745861	;
449	-73.9842798	40.7151783	;
450	-73.9842688	40.7647981	;
451	-73.9842622	40.7856418	;
452	-73.9842396	40.7152343	;
453	-73.984118	40.754842	;
454	-73.9839968	40.785534	;
455	-73.9839163	40.7837822	;
456	-73.9837884	40.7215498	;
457	-73.9837108	40.785842	;
458	-73.9837045	40.7604656	;
459	-73.983689	40.7854081	;
460	-73.983627	40.743945	;
461	-73.983621	40.749724	;
462	-73.9834982	40.7479926	;
463	-73.9832504	40.7610948	;
464	-73.9832475	40.7871601	;
465	-73.9831797	40.7503411	;
466	-73.9831793	40.7851952	;
467	-73.983177	40.744562	;
468	-73.983148	40.7388264	;
469	-73.9830196	40.7148021	;
470	-73.9829816	40.7148593	;
471	-73.982957	40.747765	;
472	-73.9828783	40.7667155	;
473	-73.9827898	40.7850325	;
474	-73.982727	40.745181	;
475	-73.9827118	40.7567712	;
476	-73.9826645	40.7394963	;
477	-73.9826602	40.7849758	;
